date,retweets,favorites,text,permalink
08/15/18,0,0,"Hi, Danny. Apologies for the confusion. That train had some brief mechanical problems but is on the move now. ^HKD",https://twitter.com/NYCTSubway/status/1029703868672815105
08/15/18,0,1,"Good morning, Paula. There was a D train removed from service at 9 Av due to a mechanical problem. This held service back. There is a D approaching now. ^JP",https://twitter.com/NYCTSubway/status/1029700530820591618
08/15/18,0,0,"Hi, Laura. Sorry for the confusion - some trains may be skipping stops because of an earlier gap in service caused by a train having mechanical problems at 9 Av. ^HKD",https://twitter.com/NYCTSubway/status/1029700282723328000
08/15/18,0,0,"Hi, Mike. There was a D train removed from service at 9 Av because of a mechanical problem. Trains were held in their station while this was done. That train moved out and service is resuming with delays. ^JP",https://twitter.com/NYCTSubway/status/1029699416142295041
08/15/18,3,3,Southbound B and D trains are running with delays while we remove a train from service with mechanical problems at W 4 St.,https://twitter.com/NYCTSubway/status/1029696930392297472
08/15/18,2,2,Northbound D trains are running express from 62 St to 36 St (Brooklyn) because of a train with mechanical problems at 9 Av.,https://twitter.com/NYCTSubway/status/1029696829095649280
08/15/18,0,0,"Good morning. There is a train with mechanical problems at W 4 St-Washington Sq, causing delays in service momentarily. Trains are being held while the cause is being investigated by our crew. We apologize for this delay. ^CB",https://twitter.com/NYCTSubway/status/1029694515341402113
08/14/18,0,0,"(1) Hello! We understand your frustration in feeling like there's been an increase in trains brakes being activated. In the past we would refer to these incidents as a train having mechanical problems"".""",https://twitter.com/NYCTSubway/status/1029529559140642816
08/14/18,0,1,Can't be. @ NYCTsubway said train with mechanical problems # lyingfucks,https://twitter.com/anatalizio0523/status/1029495565422342149
08/14/18,0,0,"I literally just passed through W4 and there was no train with mechanical problems. Sweet like, though.",https://twitter.com/anatalizio0523/status/1029491390575792128
08/14/18,3,4,Southbound C and E trains are running with delays because of a train with mechanical problems at W 4 St-Washington Sq.,https://twitter.com/NYCTSubway/status/1029490460069380098
08/14/18,0,1,"Just yesterday, you have over 15 lines of trains experienced some type of mechanical problem or delay, and then this morning, 13 lines of trains are reported with issues or delays. That is insane! Sorry isn't good enough.",https://twitter.com/will_connor888/status/1029396309504077825
08/14/18,0,0,"Hi Sarah, both are true. We were moving a train with mechanical problems which caused congestion. Making our messaging consistent is a big priority, and a challenge when dealing with old radio equipment. Hope your day gets better ^TBJ",https://twitter.com/NYCTSubway/status/1029391267388579840
08/14/18,0,0,We will... RT @ NYCTSubway: 2 and 5 train service is resuming after we removed a train with mechanical problems at 149 St-Grand Concourse. Please continue to expect delays. https://twitter.com/NYCTSubway/status/1029351666598985728 …,https://twitter.com/tiahjanay_/status/1029387942203191297
08/14/18,0,0,"Hello. At the time of your tweet, 2/5 trains experienced reroutes and delays because a train had mechanical problems at 149 St. Our crews worked hard to restore normal service as quickly as possible. Currently, trains are moving. (1/2)",https://twitter.com/NYCTSubway/status/1029386971943247873
08/14/18,4,6,2 and 5 train service is resuming after we removed a train with mechanical problems at 149 St-Grand Concourse. Please continue to expect delays. https://twitter.com/NYCTSubway/status/1029351666598985728 …,https://twitter.com/NYCTSubway/status/1029383864345616386
08/14/18,6,5,Updatef a train with mechanical problems at 149 St-Grand Concourse. Some northbound 2 trains are stopping along the 1 line from 96 St to 137 St-City College or along the 3 line from 96 St to Harlem-148 St. (1/2),https://twitter.com/NYCTSubway/status/1029362162815381504
08/14/18,0,0,"Ok, thanks! I think I was on the train behind the train with mechanical problems tho.",https://twitter.com/Erinn_Conlon/status/1029341310350712832
08/14/18,0,0,Hi Erinn. It appears that the train you were riding experienced mechanical problems and had to be removed from service. We see the next train arrived shortly thereafter. We hope you are on your way. ^TBJ,https://twitter.com/NYCTSubway/status/1029341008021139456
08/14/18,0,0,@ NYCTSubway thx for the stop underwater in the Montague car #5693. Also thx for the conflicting messages of traffic/mechanical problems. @ SarahMeyerNYC I don't know if u have ever been stuck under water. It kinda ruins your day. Going forward accurate i,https://twitter.com/exenezoom/status/1029334469562523649
08/14/18,1,1,".NYCTSubway Due to a work train with mechanical problems, there is no N train service between Lexington Av-59th Street and Queensboro Plaza in both directions. http://bit.ly/2H9qiOQ . Multilingual & ASL Link: http://bit.ly/2qGuk67 . # shield1631 # NYC # Retweet",https://twitter.com/Shield1631/status/1029324160055615488
08/14/18,9,3,". @ NYCTSubway Due to a work train with mechanical problems, there is no N train service between Lexington Av-59th Street and Queensboro Plaza in both directions. http://www.mta.info . Multilingual & ASL Link: http://on.nyc.gov/2gFqaVT .",https://twitter.com/NotifyNYC/status/1029324134877208577
08/14/18,6,4,There is no N and W train service between Lexington Av-59 St and Queensboro Plaza because of a work train with mechanical problems at Lexington Av-59 St.,https://twitter.com/NYCTSubway/status/1029322834802343942
08/14/18,7,5,"Update: There is no N and W train service between Queensboro Plaza and Lexington Av-59 St. These service changes are because of a work train with mechanical problems at Lexington Av-63 St. Expect delays on the F, N, Q, R and W trains.",https://twitter.com/NYCTSubway/status/1029317123267547137
08/14/18,9,6,"Southbound R trains are stopping along the F line from Jackson Hts-Roosevelt Av to Lexington Av-63 St, then via the Q line from Lexington Av-63 St to 57 St-7 Av because of a work train with mechanical problems at Lexington Av-63 St. Expect delays on the F, N, R and Q trains.",https://twitter.com/NYCTSubway/status/1029310196366147585
08/14/18,4,4,Metropolitan Av-bound M & southbound R trains are running with delays because of a work train with mechanical problems at Forest Hills-71 Av,https://twitter.com/NYCTSubway/status/1029297554511613952
08/13/18,2,7,6 train service has resumed following an earlier train with mechanical problems at Brooklyn Bridge-City Hall.,https://twitter.com/NYCTSubway/status/1029206513234141184
08/13/18,0,0,There is a train at Brooklyn Bridge that is experiencing a mechanical problem. 6 trains are running along the 4 line to Bowling Green causing delays in 4 and 6 train service. ^JG,https://twitter.com/NYCTSubway/status/1029195140211122177
08/13/18,0,0,"Hi Christina, Apologies for the delays, N, Q, R and W trains are running with delays because of a train with mechanical problems at 59 St, ^EE",https://twitter.com/NYCTSubway/status/1029134804112105475
08/13/18,0,0,"Hi Sarah. There are delays and service changes affecting N, Q, R and W train service because of a train with mechanical problems at 59 St, we apologize for the inconvenience.^EE",https://twitter.com/NYCTSubway/status/1029128761374109698
08/13/18,0,0,Good Evening. There are delays following an earlier incident involving a train with mechanical problems at 14 St. Can you tell us which direction you are traveling so we may better assist you? ^JZ,https://twitter.com/NYCTSubway/status/1029123369936007168
08/13/18,0,0,Good Evening. There was a train with mechanical problems at 14 St which caused service changes and delays. The train has been removed from customer service. We have resumed service with delays. ^JZ,https://twitter.com/NYCTSubway/status/1029120896890535938
08/13/18,2,11,"N, Q, R and W train service has resumed following an earlier incident involving a train with mechanical problems at 14 St-Union Sq.",https://twitter.com/NYCTSubway/status/1029120277886783488
08/13/18,1,2,Hudson Yards-bound 7 trains are running with delays while we remove a train from service with mechanical problems at Vernon Blvd-Jackson Av.,https://twitter.com/NYCTSubway/status/1029002257935867904
08/13/18,0,0,"Sorry about that, Anthony. Thanks for letting us know. We'll look into this to see if that particular car has any mechanical problems. ^AM",https://twitter.com/NYCTSubway/status/1028989027263885313
08/13/18,2,1,Broad St-bound J and Z trains are running express from Broadway Junction to Myrtle Av because of a train with mechanical problems at Broadway Junction.,https://twitter.com/NYCTSubway/status/1028966652560453632
08/13/18,4,1,4 trains are running with delays in both directions because of a train with mechanical problems at Woodlawn.,https://twitter.com/NYCTSubway/status/1028949041164570624
08/12/18,0,0,"Hi, Adriana. There is a Queens bound F train leaving 23 St and should arrive shortly. There was an earlier Queens bound F train taken out of service because of mechanical problems. ^GES",https://twitter.com/NYCTSubway/status/1028834496429391873
08/12/18,0,0,"Are you serious? It's always an issue w mechanical problem delaying me from getting to and from work. Trains sometimes lack air conditioning, dirty inside. Shall I go on?",https://twitter.com/D1878Sean/status/1028632246654312448
